PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2021,51.75,102.75,1.15,2.22,3.62,4.82,4.6,5.19,5.38,3.85,3.17,2.63,1.42,1.07,3.26
ALLSKY_SFC_SW_DWN,2021,51.75,103.25,1.15,2.22,3.62,4.82,4.6,5.19,5.38,3.85,3.17,2.63,1.42,1.07,3.26
ALLSKY_SFC_SW_DWN,2021,51.75,103.75,1.15,2.22,3.62,4.82,4.6,5.19,5.38,3.85,3.17,2.63,1.42,1.07,3.26
ALLSKY_SFC_SW_DWN,2021,51.75,104.25,1.05,2.05,3.44,4.3,4.57,5.08,5.1,3.68,3.15,2.47,1.34,0.93,3.1
ALLSKY_SFC_SW_DWN,2021,51.75,104.75,1.05,2.05,3.44,4.3,4.57,5.08,5.1,3.68,3.15,2.47,1.34,0.93,3.1
ALLSKY_SFC_SW_DWN,2021,51.75,105.25,1.05,2.05,3.44,4.3,4.57,5.08,5.1,3.68,3.15,2.47,1.34,0.93,3.1
ALLSKY_SFC_SW_DWN,2021,51.75,105.75,1.05,2.05,3.44,4.3,4.57,5.08,5.1,3.68,3.15,2.47,1.34,0.93,3.1
ALLSKY_SFC_SW_DWN,2021,51.75,106.25,1.13,2.32,3.83,4.98,5.08,5.8,5.28,4.28,3.37,2.51,1.31,0.96,3.41
ALLSKY_SFC_SW_DWN,2021,51.75,106.75,1.13,2.32,3.83,4.98,5.08,5.8,5.28,4.28,3.37,2.51,1.31,0.96,3.41
ALLSKY_SFC_SW_DWN,2021,51.75,107.25,1.13,2.32,3.83,4.98,5.08,5.8,5.28,4.28,3.37,2.51,1.31,0.96,3.41
ALLSKY_SFC_SW_DWN,2021,51.75,107.75,1.13,2.32,3.83,4.98,5.08,5.8,5.28,4.28,3.37,2.51,1.31,0.96,3.41
ALLSKY_SFC_SW_DWN,2021,51.75,108.25,1.18,2.26,3.85,5.24,4.99,5.83,5.25,4.42,3.25,2.49,1.34,0.99,3.43
ALLSKY_SFC_SW_DWN,2021,52.25,102.75,1.06,2.09,3.65,4.49,4.46,5.64,5.75,4.0,3.25,2.53,1.18,0.89,3.25
ALLSKY_SFC_SW_DWN,2021,52.25,103.25,1.06,2.09,3.65,4.49,4.46,5.64,5.75,4.0,3.25,2.53,1.18,0.89,3.25
