-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2020,53.75,105.25,92.32,92.49,91.89,92.56,91.72,91.22,91.22,91.34,91.95,92.26,92.67,92.54,92.01
PS,2020,53.75,105.75,92.59,92.76,92.13,92.8,91.94,91.45,91.44,91.56,92.18,92.5,92.92,92.79,92.25
PS,2020,53.75,106.25,92.91,93.08,92.42,93.09,92.22,91.72,91.71,91.84,92.47,92.79,93.23,93.1,92.54
PS,2020,53.75,106.75,92.73,92.89,92.21,92.9,92.02,91.54,91.53,91.66,92.29,92.59,93.02,92.88,92.35
PS,2020,53.75,107.25,92.34,92.49,91.81,92.52,91.63,91.18,91.16,91.29,91.91,92.19,92.62,92.45,91.96
PS,2020,53.75,107.75,92.8,92.94,92.21,92.92,92.01,91.56,91.54,91.68,92.31,92.59,93.04,92.88,92.37
PS,2020,53.75,108.25,94.2,94.32,93.52,94.21,93.26,92.79,92.75,92.9,93.56,93.89,94.39,94.27,93.67
PS,2020,53.75,108.75,95.67,95.79,94.92,95.58,94.59,94.09,94.03,94.2,94.9,95.27,95.82,95.74,95.04
PS,2020,53.75,109.25,93.32,93.44,92.66,93.36,92.42,91.99,91.94,92.1,92.73,93.02,93.52,93.37,92.82
PS,2020,53.75,109.75,90.79,90.92,90.21,91.0,90.11,89.76,89.74,89.89,90.45,90.63,91.04,90.79,90.44
PS,2020,53.75,110.25,89.06,89.2,88.52,89.39,88.53,88.25,88.24,88.4,88.9,88.99,89.33,89.01,88.82
